run_date,file_name,n_rows,product_col,has_source_flag,na_order_id,na_order_date,na_store_id,na_product,na_quantity,na_unit_price,na_discount_pct,na_sales_channel,na_loyalty,dup_rows,dup_order_id,neg_quantity,neg_unit_price,bad_discount,orphan_store,orphan_product,flags
2026-08-04,orders_2026-07-07.csv,175,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-08.csv,141,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-09.csv,154,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-10.csv,170,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-11.csv,98,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-12.csv,104,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-13.csv,157,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-14.csv,128,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-15.csv,134,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-16.csv,112,product_id,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,duplicates
2026-08-04,orders_2026-07-17.csv,105,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-18.csv,106,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-19.csv,167,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-20.csv,144,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-21.csv,91,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-22.csv,162,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-23.csv,140,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-24.csv,140,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"stale(expected=2026-07-24,found=2026-07-23)"
2026-08-04,orders_2026-07-25.csv,142,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-26.csv,101,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-27.csv,98,product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-08-04,orders_2026-07-28.csv,101,new_product_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,schema_new_product_col
