order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260707-0001,2026-07-07,S007,P1075,4,165.22,0,in_store,Y
20260707-0002,2026-07-07,S008,P1007,2,112.42,0,ship_from_store,Y
20260707-0003,2026-07-07,S002,P1063,1,71.93,10,in_store,Y
20260707-0004,2026-07-07,S008,P1056,3,144.01,0,ship_from_store,Y
20260707-0005,2026-07-07,S006,P1044,1,170.33,10,ship_from_store,Y
20260707-0006,2026-07-07,S003,P1024,1,90.59,0,in_store,Y
20260707-0007,2026-07-07,S004,P1033,3,161.04,15,in_store,Y
20260707-0008,2026-07-07,S004,P1002,3,172.92,15,in_store,Y
20260707-0009,2026-07-07,S006,P1013,1,87.65,10,in_store,Y
20260707-0010,2026-07-07,S005,P1064,3,614.45,0,pickup,Y
20260707-0011,2026-07-07,S002,P1036,3,157.72,0,in_store,N
20260707-0012,2026-07-07,S003,P1007,2,95.56,15,in_store,Y
20260707-0013,2026-07-07,S005,P1076,3,651.78,5,ship_from_store,N
20260707-0014,2026-07-07,S008,P1080,2,135.85,5,in_store,Y
20260707-0015,2026-07-07,S007,P1057,2,389.66,5,in_store,Y
20260707-0016,2026-07-07,S006,P1078,1,146.35,0,ship_from_store,Y
20260707-0017,2026-07-07,S008,P1069,3,256.36,0,in_store,N
20260707-0018,2026-07-07,S006,P1013,2,97.39,0,ship_from_store,Y
20260707-0019,2026-07-07,S005,P1075,4,165.22,0,in_store,Y
20260707-0020,2026-07-07,S006,P1048,1,59.74,15,ship_from_store,Y
20260707-0021,2026-07-07,S001,P1012,2,98.93,20,in_store,Y
20260707-0022,2026-07-07,S003,P1015,2,191.87,0,pickup,Y
20260707-0023,2026-07-07,S004,P1025,1,99.68,20,in_store,Y
20260707-0024,2026-07-07,S006,P1040,2,108.81,0,in_store,Y
20260707-0025,2026-07-07,S001,P1044,1,189.25,0,in_store,Y
20260707-0026,2026-07-07,S005,P1049,4,177.61,20,ship_from_store,Y
20260707-0027,2026-07-07,S004,P1031,1,156.18,10,pickup,Y
20260707-0028,2026-07-07,S004,P1073,2,125.32,0,ship_from_store,N
20260707-0029,2026-07-07,S004,P1041,3,54.6,0,in_store,Y
20260707-0030,2026-07-07,S001,P1067,2,266.98,0,in_store,Y
20260707-0031,2026-07-07,S005,P1023,2,127.3,10,ship_from_store,Y
20260707-0032,2026-07-07,S007,P1072,1,134.29,0,in_store,N
20260707-0033,2026-07-07,S002,P1076,1,583.17,15,in_store,Y
20260707-0034,2026-07-07,S008,P1021,1,62.68,15,ship_from_store,Y
20260707-0035,2026-07-07,S001,P1073,1,112.79,10,ship_from_store,Y
20260707-0036,2026-07-07,S008,P1001,2,130.82,0,in_store,Y
