order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260713-0001,2026-07-13,S002,P1061,3,147.84,0,ship_from_store,Y
20260713-0002,2026-07-13,S003,P1004,1,109.9,0,in_store,N
20260713-0003,2026-07-13,S008,P1001,3,130.82,0,in_store,Y
20260713-0004,2026-07-13,S002,P1052,4,369.46,5,pickup,Y
20260713-0005,2026-07-13,S008,P1078,1,139.03,5,in_store,Y
20260713-0006,2026-07-13,S006,P1017,1,64.63,0,pickup,Y
20260713-0007,2026-07-13,S007,P1042,1,115.25,0,pickup,Y
20260713-0008,2026-07-13,S005,P1058,1,237.23,10,in_store,Y
20260713-0009,2026-07-13,S001,P1010,1,524.81,5,in_store,Y
20260713-0010,2026-07-13,S005,P1037,4,82.58,10,pickup,Y
20260713-0011,2026-07-13,S007,P1018,2,153.36,0,pickup,Y
20260713-0012,2026-07-13,S008,P1039,1,367.84,0,in_store,N
20260713-0013,2026-07-13,S001,P1074,4,172.53,10,in_store,Y
20260713-0014,2026-07-13,S004,P1061,1,140.45,5,pickup,Y
20260713-0015,2026-07-13,S003,P1046,1,233.42,0,in_store,Y
20260713-0016,2026-07-13,S004,P1016,3,602.39,5,in_store,Y
20260713-0017,2026-07-13,S008,P1032,2,174.67,10,ship_from_store,N
20260713-0018,2026-07-13,S003,P1019,2,178.99,0,in_store,Y
20260713-0019,2026-07-13,S005,P1068,2,68.78,15,in_store,N
20260713-0020,2026-07-13,S001,P1017,3,64.63,0,pickup,N
20260713-0021,2026-07-13,S002,P1080,2,143.0,0,pickup,Y
20260713-0022,2026-07-13,S002,P1014,2,204.67,0,in_store,N
20260713-0023,2026-07-13,S003,P1008,1,166.72,5,in_store,Y
20260713-0024,2026-07-13,S006,P1022,3,388.71,0,in_store,N
20260713-0025,2026-07-13,S002,P1035,3,132.96,10,in_store,Y
20260713-0026,2026-07-13,S005,P1057,1,328.14,20,in_store,Y
20260713-0027,2026-07-13,S001,P1048,3,63.25,10,in_store,N
20260713-0028,2026-07-13,S005,P1045,2,348.41,0,pickup,Y
20260713-0029,2026-07-13,S003,P1067,1,266.98,0,pickup,N
20260713-0030,2026-07-13,S004,P1061,1,147.84,0,in_store,N
20260713-0031,2026-07-13,S008,P1026,1,130.4,0,in_store,N
20260713-0032,2026-07-13,S007,P1031,4,156.18,10,ship_from_store,Y
20260713-0033,2026-07-13,S006,P1044,1,160.86,15,ship_from_store,N
20260713-0034,2026-07-13,S002,P1054,1,60.08,15,pickup,Y
