order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260711-0001,2026-07-11,S005,P1034,2,160.42,5,ship_from_store,Y
20260711-0002,2026-07-11,S001,P1019,4,161.09,10,ship_from_store,Y
20260711-0003,2026-07-11,S001,P1034,3,168.86,0,in_store,Y
20260711-0004,2026-07-11,S005,P1042,2,92.2,20,in_store,Y
20260711-0005,2026-07-11,S003,P1066,1,104.88,0,ship_from_store,Y
20260711-0006,2026-07-11,S006,P1042,4,103.73,10,pickup,Y
20260711-0007,2026-07-11,S004,P1034,3,151.97,10,in_store,N
20260711-0008,2026-07-11,S007,P1071,3,136.13,5,ship_from_store,N
20260711-0009,2026-07-11,S006,P1050,1,67.78,10,in_store,Y
20260711-0010,2026-07-11,S008,P1023,4,120.22,15,pickup,Y
20260711-0011,2026-07-11,S005,P1008,2,175.5,0,ship_from_store,N
20260711-0012,2026-07-11,S001,P1048,4,70.28,0,in_store,Y
20260711-0013,2026-07-11,S006,P1078,2,146.35,0,pickup,Y
20260711-0014,2026-07-11,S002,P1064,1,614.45,0,pickup,N
20260711-0015,2026-07-11,S008,P1079,4,230.59,10,pickup,N
20260711-0016,2026-07-11,S004,P1074,4,162.94,15,in_store,N
20260711-0017,2026-07-11,S004,P1006,1,44.73,20,pickup,N
20260711-0018,2026-07-11,S001,P1073,1,125.32,0,pickup,Y
20260711-0019,2026-07-11,S002,P1076,2,686.08,0,in_store,Y
20260711-0020,2026-07-11,S003,P1044,1,189.25,0,in_store,N
20260711-0021,2026-07-11,S003,P1024,1,72.47,20,in_store,N
20260711-0022,2026-07-11,S004,P1036,4,126.18,20,ship_from_store,Y
20260711-0023,2026-07-11,S003,P1037,1,77.99,15,in_store,N
20260711-0024,2026-07-11,S004,P1031,2,138.82,20,ship_from_store,Y
20260711-0025,2026-07-11,S001,P1068,1,80.92,0,in_store,N
20260711-0026,2026-07-11,S002,P1079,4,256.21,0,pickup,Y
20260711-0027,2026-07-11,S004,P1003,1,448.98,0,in_store,Y
20260711-0028,2026-07-11,S003,P1024,2,72.47,20,ship_from_store,Y
20260711-0029,2026-07-11,S001,P1064,3,553.01,10,ship_from_store,Y
20260711-0030,2026-07-11,S005,P1054,2,67.15,5,ship_from_store,Y
20260711-0031,2026-07-11,S002,P1062,3,153.62,10,in_store,Y
20260711-0032,2026-07-11,S008,P1062,3,162.16,5,in_store,Y
20260711-0033,2026-07-11,S006,P1073,2,100.26,20,ship_from_store,Y
20260711-0034,2026-07-11,S001,P1021,4,62.68,15,in_store,N
20260711-0035,2026-07-11,S003,P1026,3,110.84,15,in_store,N
20260711-0036,2026-07-11,S004,P1003,1,404.08,10,ship_from_store,Y
