order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260710-0001,2026-07-10,S004,P1018,4,138.02,10,in_store,Y
20260710-0002,2026-07-10,S007,P1034,2,168.86,0,in_store,Y
20260710-0003,2026-07-10,S003,P1001,3,130.82,0,ship_from_store,N
20260710-0004,2026-07-10,S001,P1076,1,686.08,0,in_store,Y
20260710-0005,2026-07-10,S007,P1016,1,570.68,10,in_store,Y
20260710-0006,2026-07-10,S007,P1006,4,55.91,0,pickup,Y
20260710-0007,2026-07-10,S003,P1013,1,92.52,5,in_store,N
20260710-0008,2026-07-10,S001,P1061,1,125.66,15,in_store,Y
20260710-0009,2026-07-10,S003,P1049,2,188.71,15,in_store,Y
20260710-0010,2026-07-10,S005,P1008,1,166.72,5,ship_from_store,N
20260710-0011,2026-07-10,S008,P1015,1,191.87,0,pickup,Y
20260710-0012,2026-07-10,S008,P1075,2,148.7,10,in_store,Y
20260710-0013,2026-07-10,S001,P1066,4,104.88,0,in_store,Y
20260710-0014,2026-07-10,S007,P1030,2,101.01,20,in_store,Y
20260710-0015,2026-07-10,S006,P1068,4,76.87,5,ship_from_store,Y
20260710-0016,2026-07-10,S003,P1006,3,53.11,5,in_store,Y
20260710-0017,2026-07-10,S002,P1042,2,115.25,0,in_store,N
20260710-0018,2026-07-10,S001,P1052,1,388.91,0,in_store,Y
20260710-0019,2026-07-10,S003,P1039,1,331.06,10,in_store,N
20260710-0020,2026-07-10,S001,P1070,1,202.52,0,in_store,Y
20260710-0021,2026-07-10,S003,P1080,1,128.7,10,in_store,Y
20260710-0022,2026-07-10,S005,P1074,1,162.94,15,in_store,Y
20260710-0023,2026-07-10,S004,P1064,1,491.56,20,in_store,N
20260710-0024,2026-07-10,S001,P1003,1,359.18,20,in_store,Y
20260710-0025,2026-07-10,S002,P1004,1,109.9,0,pickup,N
20260710-0026,2026-07-10,S006,P1045,2,296.15,15,pickup,N
20260710-0027,2026-07-10,S006,P1015,1,172.68,10,pickup,N
20260710-0028,2026-07-10,S002,P1045,1,296.15,15,in_store,Y
20260710-0029,2026-07-10,S003,P1077,1,76.12,20,ship_from_store,Y
20260710-0030,2026-07-10,S001,P1010,1,441.94,20,ship_from_store,Y
20260710-0031,2026-07-10,S001,P1037,1,82.58,10,pickup,Y
20260710-0032,2026-07-10,S006,P1047,1,56.9,0,in_store,Y
20260710-0033,2026-07-10,S002,P1042,1,92.2,20,in_store,Y
