order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260708-0001,2026-07-08,S005,P1060,1,154.39,0,in_store,Y
20260708-0002,2026-07-08,S006,P1008,4,157.95,10,ship_from_store,N
20260708-0003,2026-07-08,S007,P1065,1,107.22,5,pickup,Y
20260708-0004,2026-07-08,S001,P1059,1,100.22,5,in_store,Y
20260708-0005,2026-07-08,S002,P1067,1,253.63,5,in_store,Y
20260708-0006,2026-07-08,S008,P1042,3,109.49,5,pickup,Y
20260708-0007,2026-07-08,S008,P1016,1,507.27,20,pickup,Y
20260708-0008,2026-07-08,S004,P1018,2,130.36,15,pickup,N
20260708-0009,2026-07-08,S005,P1040,2,108.81,0,in_store,Y
20260708-0010,2026-07-08,S007,P1007,1,112.42,0,in_store,Y
20260708-0011,2026-07-08,S002,P1052,1,311.13,20,in_store,N
20260708-0012,2026-07-08,S005,P1014,4,204.67,0,in_store,Y
20260708-0013,2026-07-08,S001,P1013,1,97.39,0,ship_from_store,Y
20260708-0014,2026-07-08,S004,P1013,1,97.39,0,in_store,Y
20260708-0015,2026-07-08,S008,P1007,1,101.18,10,in_store,Y
20260708-0016,2026-07-08,S003,P1026,2,123.88,5,in_store,Y
20260708-0017,2026-07-08,S002,P1055,1,263.69,5,pickup,Y
20260708-0018,2026-07-08,S008,P1062,1,170.69,0,ship_from_store,Y
20260708-0019,2026-07-08,S001,P1052,1,330.57,15,ship_from_store,N
20260708-0020,2026-07-08,S007,P1066,2,83.9,20,in_store,Y
20260708-0021,2026-07-08,S008,P1025,2,99.68,20,in_store,N
20260708-0022,2026-07-08,S004,P1045,1,313.57,10,pickup,Y
20260708-0023,2026-07-08,S007,P1073,2,125.32,0,in_store,Y
20260708-0024,2026-07-08,S001,P1040,1,103.37,5,in_store,Y
20260708-0025,2026-07-08,S003,P1001,3,130.82,0,in_store,Y
20260708-0026,2026-07-08,S007,P1033,4,151.57,20,in_store,Y
20260708-0027,2026-07-08,S004,P1077,3,85.64,10,in_store,Y
20260708-0028,2026-07-08,S001,P1062,4,162.16,5,in_store,N
20260708-0029,2026-07-08,S003,P1074,4,191.7,0,in_store,Y
